timestamp_ms,step,sim_time,phase,phase_name,cmd_x,cmd_y,cmd_yaw,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,scaled_action_0,scaled_action_1,scaled_action_2,scaled_action_3,scaled_action_4,scaled_action_5,scaled_action_6,scaled_action_7,scaled_action_8,scaled_action_9,scaled_action_10,scaled_action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
20,0,0.020000,0,Stand,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.133649,0.058652,0.111287,-0.065514,-0.404696,-0.041433,0.090925,0.175439,0.646099,0.159546,-0.350556,-0.424489,-0.033412,0.014663,0.027822,-0.016379,-0.101174,-0.010358,0.022731,0.043860,0.161525,0.039886,-0.087639,-0.106122,-0.033412,0.014663,0.027822,-0.016379,-0.101174,-0.010358,0.022731,0.043860,0.161525,0.039886,-0.087639,-0.106122,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
40,1,0.040000,0,Stand,0.000000,0.000000,0.000000,0.031843,0.013560,0.006257,0.000223,-0.000569,-1.000000,0.000000,0.000000,0.000000,-0.003999,0.003313,0.004688,-0.002057,-0.022734,-0.002958,0.005672,0.010506,0.047846,0.011570,-0.025391,-0.031189,-0.294013,0.229067,0.341162,-0.166655,-1.537239,-0.186761,0.360177,0.683135,2.921445,0.716612,-1.576085,-1.928446,-0.133649,0.058652,0.111287,-0.065514,-0.404696,-0.041433,0.090925,0.175439,0.646099,0.159546,-0.350556,-0.424489,-0.039321,-0.110898,-0.051471,0.112011,-0.204305,0.007631,0.145163,0.143509,0.097463,-0.052722,0.152994,-0.050875,-0.009830,-0.027724,-0.012868,0.028003,-0.051076,0.001908,0.036291,0.035877,0.024366,-0.013180,0.038249,-0.012719,-0.009830,-0.027724,-0.012868,0.028003,-0.051076,0.001908,0.036291,0.035877,0.024366,-0.013180,0.038249,-0.012719,-0.003999,0.003313,0.004688,-0.002057,-0.022734,-0.002958,0.005672,0.010506,0.047846,0.011570,-0.025391,-0.031189,-0.294013,0.229067,0.341162,-0.166655,-1.537239,-0.186761,0.360177,0.683135,2.921445,0.716612,-1.576085,-1.928446
60,2,0.060000,0,Stand,0.000000,0.000000,0.000000,0.068262,0.061309,0.004114,0.001285,-0.001864,-0.999997,0.000000,0.000000,0.000000,-0.008373,0.001687,0.004846,0.000355,-0.038773,-0.003350,0.009861,0.019349,0.062230,0.009566,-0.020693,-0.040366,-0.169429,-0.186308,-0.119444,0.223971,-0.477088,0.057177,0.152699,0.326454,-0.070390,-0.362338,0.811360,0.062510,-0.039321,-0.110898,-0.051471,0.112011,-0.204305,0.007631,0.145163,0.143509,0.097463,-0.052722,0.152994,-0.050875,0.002776,-0.022275,0.010446,-0.038268,-0.173006,0.067547,0.022135,0.071062,0.547406,0.055882,-0.277371,-0.447601,0.000694,-0.005569,0.002611,-0.009567,-0.043252,0.016887,0.005534,0.017765,0.136851,0.013970,-0.069343,-0.111900,0.000694,-0.005569,0.002611,-0.009567,-0.043252,0.016887,0.005534,0.017765,0.136851,0.013970,-0.069343,-0.111900,-0.008373,0.001687,0.004846,0.000355,-0.038773,-0.003350,0.009861,0.019349,0.062230,0.009566,-0.020693,-0.040366,-0.169429,-0.186308,-0.119444,0.223971,-0.477088,0.057177,0.152699,0.326454,-0.070390,-0.362338,0.811360,0.062510
80,3,0.080000,0,Stand,0.000000,0.000000,0.000000,0.186259,-0.047970,-0.097191,0.000315,-0.003851,-0.999993,0.000000,0.000000,0.000000,-0.008870,0.001921,0.004773,0.004116,-0.014519,0.000334,0.008246,0.008125,0.024693,0.007510,-0.017402,-0.026360,0.160057,0.101557,0.135370,0.133785,2.405612,0.192661,-0.960069,-1.791201,-3.576089,0.037110,1.331583,2.637383,0.002776,-0.022275,0.010446,-0.038268,-0.173006,0.067547,0.022135,0.071062,0.547406,0.055882,-0.277371,-0.447601,-0.463514,-0.047819,-0.007811,-0.585333,-0.904447,-0.154252,0.198869,0.231678,1.375529,0.073283,-0.790096,-1.474040,-0.115879,-0.011955,-0.001953,-0.146333,-0.226112,-0.038563,0.049717,0.057919,0.343882,0.018321,-0.197524,-0.368510,-0.115879,-0.011955,-0.001953,-0.146333,-0.226112,-0.038563,0.049717,0.057919,0.343882,0.018321,-0.197524,-0.368510,-0.008870,0.001921,0.004773,0.004116,-0.014519,0.000334,0.008246,0.008125,0.024693,0.007510,-0.017402,-0.026360,0.160057,0.101557,0.135370,0.133785,2.405612,0.192661,-0.960069,-1.791201,-3.576089,0.037110,1.331583,2.637383
100,4,0.100000,1,Forward,1.000000,0.000000,0.000000,-0.293407,0.126757,-0.098367,0.002121,0.001210,-0.999997,1.000000,0.000000,0.000000,-0.002620,-0.001177,0.010005,0.001675,0.021759,0.020250,-0.018245,-0.018583,-0.033497,-0.022290,0.026271,0.017997,0.371931,-0.247150,0.327867,-0.229447,1.306281,0.915111,-1.134622,-0.848252,-2.213420,-1.508670,1.995730,1.541985,-0.463514,-0.047819,-0.007811,-0.585333,-0.904447,-0.154252,0.198869,0.231678,1.375529,0.073283,-0.790096,-1.474040,-0.596465,0.113041,-0.001944,-0.319510,-0.041424,-0.116623,-0.301370,-0.582210,1.916981,0.112975,-1.250270,-2.253367,-0.149116,0.028260,-0.000486,-0.079878,-0.010356,-0.029156,-0.075343,-0.145553,0.479245,0.028244,-0.312567,-0.563342,-0.149116,0.028260,-0.000486,-0.079878,-0.010356,-0.029156,-0.075343,-0.145553,0.479245,0.028244,-0.312567,-0.563342,-0.002620,-0.001177,0.010005,0.001675,0.021759,0.020250,-0.018245,-0.018583,-0.033497,-0.022290,0.026271,0.017997,0.371931,-0.247150,0.327867,-0.229447,1.306281,0.915111,-1.134622,-0.848252,-2.213420,-1.508670,1.995730,1.541985
120,5,0.120000,1,Forward,1.000000,0.000000,0.000000,-0.135682,-0.145829,-0.039126,0.000233,0.004568,-0.999990,1.000000,0.000000,0.000000,0.000145,-0.002385,0.012316,0.000820,0.033507,0.035937,-0.030135,-0.030722,-0.041738,-0.036919,0.036007,0.027125,0.020997,0.029585,0.001990,0.044328,0.196399,0.653732,-0.253038,-0.464789,0.562230,-0.209600,-0.427474,-0.145853,-0.596465,0.113041,-0.001944,-0.319510,-0.041424,-0.116623,-0.301370,-0.582210,1.916981,0.112975,-1.250270,-2.253367,-0.455857,0.006764,-0.147081,-0.252862,0.430968,0.050577,-0.545418,-0.985058,1.693980,-0.236378,-0.061366,-2.627856,-0.113964,0.001691,-0.036770,-0.063215,0.107742,0.012644,-0.136354,-0.246265,0.423495,-0.059094,-0.015341,-0.656964,-0.113964,0.001691,-0.036770,-0.063215,0.107742,0.012644,-0.136354,-0.246265,0.423495,-0.059094,-0.015341,-0.656964,0.000145,-0.002385,0.012316,0.000820,0.033507,0.035937,-0.030135,-0.030722,-0.041738,-0.036919,0.036007,0.027125,0.020997,0.029585,0.001990,0.044328,0.196399,0.653732,-0.253039,-0.464789,0.562230,-0.209600,-0.427474,-0.145853
140,6,0.140000,1,Forward,1.000000,0.000000,0.000000,-0.041331,-0.241325,-0.055670,-0.004563,0.005548,-0.999974,1.000000,0.000000,0.000000,-0.000866,0.002289,0.009754,0.004110,0.034521,0.048536,-0.044795,-0.036706,-0.017938,-0.039161,0.025327,0.011893,-0.073429,0.295029,-0.172416,0.217611,-0.009097,0.591687,-0.950199,-0.213704,1.481995,-0.053368,-0.627184,-1.079304,-0.455857,0.006764,-0.147081,-0.252862,0.430968,0.050577,-0.545418,-0.985058,1.693980,-0.236378,-0.061366,-2.627856,-0.622953,-0.054037,-0.234270,-0.478518,0.275516,0.115620,-0.305498,-1.432485,1.680667,-0.734766,0.917068,-3.019887,-0.155738,-0.013509,-0.058568,-0.119629,0.068879,0.028905,-0.076375,-0.358121,0.420167,-0.183692,0.229267,-0.754972,-0.155738,-0.013509,-0.058568,-0.119629,0.068879,0.028905,-0.076375,-0.358121,0.420167,-0.183692,0.229267,-0.754972,-0.000866,0.002289,0.009754,0.004110,0.034521,0.048536,-0.044795,-0.036706,-0.017938,-0.039161,0.025327,0.011893,-0.073429,0.295029,-0.172416,0.217611,-0.009097,0.591687,-0.950199,-0.213704,1.481995,-0.053368,-0.627184,-1.079304
160,7,0.160000,1,Forward,1.000000,0.000000,0.000000,-0.137536,-0.247221,0.006940,-0.009457,0.007937,-0.999924,1.000000,0.000000,0.000000,-0.002360,0.006651,0.003188,0.006829,0.033475,0.060229,-0.068890,-0.040383,0.016903,-0.072146,0.071441,-0.018054,-0.059561,0.152039,-0.410668,0.070498,-0.057315,0.452494,-1.208131,-0.190172,1.874260,-2.022467,3.049041,-1.714923,-0.622953,-0.054037,-0.234270,-0.478518,0.275516,0.115620,-0.305498,-1.432485,1.680667,-0.734766,0.917068,-3.019887,-0.730251,0.021049,-0.086191,-0.403682,0.002725,-0.065512,-0.019823,-1.156553,1.730663,-0.941855,0.977810,-2.844717,-0.182563,0.005262,-0.021548,-0.100921,0.000681,-0.016378,-0.004956,-0.289138,0.432666,-0.235464,0.244453,-0.711179,-0.182563,0.005262,-0.021548,-0.100921,0.000681,-0.016378,-0.004956,-0.289138,0.432666,-0.235464,0.244453,-0.711179,-0.002360,0.006651,0.003188,0.006829,0.033475,0.060229,-0.068890,-0.040383,0.016903,-0.072146,0.071441,-0.018054,-0.059561,0.152039,-0.410668,0.070498,-0.057315,0.452494,-1.208131,-0.190172,1.874260,-2.022467,3.049041,-1.714923
180,8,0.180000,1,Forward,1.000000,0.000000,0.000000,-0.149744,-0.214297,0.090687,-0.013839,0.011023,-0.999843,1.000000,0.000000,0.000000,-0.005117,0.012657,-0.002800,0.008339,0.029632,0.058758,-0.073564,-0.041412,0.058949,-0.120180,0.132818,-0.059026,-0.177877,0.321809,-0.234620,0.061846,-0.240144,-0.307430,0.437886,-0.020413,2.225363,-2.330388,3.031183,-2.206620,-0.730251,0.021049,-0.086191,-0.403682,0.002725,-0.065512,-0.019823,-1.156553,1.730663,-0.941855,0.977810,-2.844717,-0.667556,-0.057024,-0.053045,-0.313373,-0.155808,-0.059825,-0.010241,-0.778219,1.837786,-0.899441,0.983660,-2.880738,-0.166889,-0.014256,-0.013261,-0.078343,-0.038952,-0.014956,-0.002560,-0.194555,0.459446,-0.224860,0.245915,-0.720185,-0.166889,-0.014256,-0.013261,-0.078343,-0.038952,-0.014956,-0.002560,-0.194555,0.459446,-0.224860,0.245915,-0.720185,-0.005117,0.012657,-0.002800,0.008339,0.029632,0.058758,-0.073564,-0.041412,0.058949,-0.120180,0.132818,-0.059026,-0.177877,0.321809,-0.234620,0.061846,-0.240144,-0.307430,0.437886,-0.020413,2.225363,-2.330387,3.031183,-2.206620
200,9,0.200000,1,Forward,1.000000,0.000000,0.000000,-0.190188,-0.144391,0.153714,-0.016923,0.014774,-0.999748,1.000000,0.000000,0.000000,-0.008620,0.015814,-0.002872,0.008988,0.022492,0.043238,-0.050905,-0.036781,0.107189,-0.157891,0.183548,-0.111295,-0.196387,0.066320,0.100218,0.026181,-0.398514,-1.147565,1.372606,0.314386,2.512037,-1.795136,2.165959,-2.799314,-0.667556,-0.057024,-0.053045,-0.313373,-0.155808,-0.059825,-0.010241,-0.778219,1.837786,-0.899441,0.983660,-2.880738,-0.616548,-0.128074,-0.150206,-0.256174,-0.173569,0.032340,-0.075135,-0.351588,2.122234,-0.866064,1.022280,-2.833987,-0.154137,-0.032018,-0.037552,-0.064044,-0.043392,0.008085,-0.018784,-0.087897,0.530558,-0.216516,0.255570,-0.708497,-0.154137,-0.032018,-0.037552,-0.064044,-0.043392,0.008085,-0.018784,-0.087897,0.530558,-0.216516,0.255570,-0.708497,-0.008620,0.015814,-0.002872,0.008988,0.022492,0.043238,-0.050905,-0.036781,0.107189,-0.157891,0.183548,-0.111295,-0.196387,0.066320,0.100218,0.026181,-0.398514,-1.147565,1.372606,0.314386,2.512037,-1.795136,2.165959,-2.799313
