timestamp_ms,step,sim_time,phase,phase_name,cmd_x,cmd_y,cmd_yaw,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,raw_action_7,raw_action_8,raw_action_9,raw_action_10,raw_action_11,scaled_action_0,scaled_action_1,scaled_action_2,scaled_action_3,scaled_action_4,scaled_action_5,scaled_action_6,scaled_action_7,scaled_action_8,scaled_action_9,scaled_action_10,scaled_action_11,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
20,0,0.020000,0,Stand,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.133649,0.058652,0.111287,-0.065514,-0.404696,-0.041433,0.090925,0.175439,0.646099,0.159546,-0.350556,-0.424489,-0.033412,0.014663,0.027822,-0.016379,-0.101174,-0.010358,0.022731,0.043860,0.161525,0.039886,-0.087639,-0.106122,-0.033412,0.014663,0.027822,-0.016379,-0.101174,-0.010358,0.022731,0.043860,0.161525,0.039886,-0.087639,-0.106122,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
40,1,0.040000,0,Stand,0.000000,0.000000,0.000000,0.031843,0.013560,0.006257,0.000223,-0.000569,-1.000000,0.000000,0.000000,0.000000,-0.003999,0.003313,0.004688,-0.002057,-0.022734,-0.002958,0.005672,0.010506,0.047846,0.011570,-0.025391,-0.031189,-0.294013,0.229066,0.341162,-0.166655,-1.537239,-0.186761,0.360177,0.683135,2.921445,0.716612,-1.576085,-1.928446,-0.133649,0.058652,0.111287,-0.065514,-0.404696,-0.041433,0.090925,0.175439,0.646099,0.159546,-0.350556,-0.424489,-0.039322,-0.110898,-0.051471,0.112011,-0.204305,0.007631,0.145163,0.143509,0.097463,-0.052722,0.152994,-0.050875,-0.009830,-0.027724,-0.012868,0.028003,-0.051076,0.001908,0.036291,0.035877,0.024366,-0.013180,0.038249,-0.012719,-0.009830,-0.027724,-0.012868,0.028003,-0.051076,0.001908,0.036291,0.035877,0.024366,-0.013180,0.038249,-0.012719,-0.003999,0.003313,0.004688,-0.002057,-0.022734,-0.002958,0.005672,0.010506,0.047846,0.011570,-0.025391,-0.031189,-0.294013,0.229066,0.341162,-0.166655,-1.537239,-0.186761,0.360177,0.683135,2.921445,0.716612,-1.576085,-1.928446
60,2,0.060000,0,Stand,0.000000,0.000000,0.000000,0.068262,0.061309,0.004114,0.001285,-0.001864,-0.999997,0.000000,0.000000,0.000000,-0.008373,0.001687,0.004846,0.000355,-0.038773,-0.003350,0.009861,0.019349,0.062230,0.009566,-0.020693,-0.040366,-0.169429,-0.186308,-0.119444,0.223971,-0.477088,0.057177,0.152699,0.326454,-0.070391,-0.362338,0.811360,0.062510,-0.039322,-0.110898,-0.051471,0.112011,-0.204305,0.007631,0.145163,0.143509,0.097463,-0.052722,0.152994,-0.050875,0.002777,-0.022275,0.010446,-0.038268,-0.173006,0.067547,0.022135,0.071062,0.547406,0.055882,-0.277371,-0.447601,0.000694,-0.005569,0.002611,-0.009567,-0.043252,0.016887,0.005534,0.017765,0.136851,0.013970,-0.069343,-0.111900,0.000694,-0.005569,0.002611,-0.009567,-0.043252,0.016887,0.005534,0.017765,0.136851,0.013970,-0.069343,-0.111900,-0.008373,0.001687,0.004846,0.000355,-0.038773,-0.003350,0.009861,0.019349,0.062230,0.009566,-0.020693,-0.040366,-0.169429,-0.186308,-0.119444,0.223971,-0.477088,0.057177,0.152699,0.326454,-0.070391,-0.362338,0.811360,0.062510
80,3,0.080000,0,Stand,0.000000,0.000000,0.000000,0.186259,-0.047970,-0.097191,0.000315,-0.003851,-0.999993,0.000000,0.000000,0.000000,-0.008870,0.001921,0.004773,0.004116,-0.014519,0.000334,0.008246,0.008125,0.024693,0.007510,-0.017402,-0.026360,0.160057,0.101557,0.135370,0.133785,2.405612,0.192661,-0.960069,-1.791201,-3.576089,0.037110,1.331583,2.637383,0.002777,-0.022275,0.010446,-0.038268,-0.173006,0.067547,0.022135,0.071062,0.547406,0.055882,-0.277371,-0.447601,-0.463514,-0.047819,-0.007811,-0.585333,-0.904447,-0.154252,0.198869,0.231678,1.375529,0.073283,-0.790096,-1.474040,-0.115879,-0.011955,-0.001953,-0.146333,-0.226112,-0.038563,0.049717,0.057919,0.343882,0.018321,-0.197524,-0.360000,-0.115879,-0.011955,-0.001953,-0.146333,-0.226112,-0.038563,0.049717,0.057919,0.343882,0.018321,-0.197524,-0.360000,-0.008870,0.001921,0.004773,0.004116,-0.014519,0.000334,0.008246,0.008125,0.024693,0.007510,-0.017402,-0.026360,0.160057,0.101557,0.135370,0.133785,2.405612,0.192661,-0.960069,-1.791201,-3.576089,0.037110,1.331584,2.637383
100,4,0.100000,0,Stand,0.000000,0.000000,0.000000,-0.293407,0.126757,-0.098367,0.002121,0.001210,-0.999997,0.000000,0.000000,0.000000,-0.002620,-0.001177,0.010005,0.001675,0.021759,0.020250,-0.018245,-0.018583,-0.033497,-0.022290,0.026271,0.017997,0.371931,-0.247150,0.327867,-0.229447,1.306281,0.915111,-1.134622,-0.848252,-2.213420,-1.508669,1.995730,1.541984,-0.463514,-0.047819,-0.007811,-0.585333,-0.904447,-0.154252,0.198869,0.231678,1.375529,0.073283,-0.790096,-1.474040,-0.512173,0.017625,0.149333,-0.190286,-0.862891,-0.313706,0.124147,-0.024249,1.420371,0.135458,-1.128271,-1.265466,-0.128043,0.004406,0.037333,-0.047572,-0.215723,-0.078427,0.031037,-0.006062,0.355093,0.033864,-0.282068,-0.316367,-0.128043,0.004406,0.037333,-0.047572,-0.215723,-0.078427,0.031037,-0.006062,0.355093,0.033864,-0.282068,-0.316367,-0.002620,-0.001177,0.010005,0.001675,0.021759,0.020250,-0.018245,-0.018583,-0.033497,-0.022290,0.026271,0.017997,0.371931,-0.247150,0.327867,-0.229447,1.306281,0.915111,-1.134622,-0.848252,-2.213420,-1.508670,1.995730,1.541984
120,5,0.120000,0,Stand,0.000000,0.000000,0.000000,-0.060195,0.023722,-0.010257,0.003061,0.003264,-0.999990,0.000000,0.000000,0.000000,-0.000381,-0.002404,0.011700,0.000726,0.030765,0.028920,-0.028952,-0.025937,-0.047165,-0.034685,0.042477,0.028345,-0.014283,0.022922,-0.037292,0.035627,-0.004405,0.136579,-0.163289,-0.108803,0.154829,-0.054458,0.064335,-0.057748,-0.512173,0.017625,0.149333,-0.190286,-0.862891,-0.313706,0.124147,-0.024249,1.420371,0.135458,-1.128271,-1.265466,-0.133588,-0.084698,0.116008,0.035812,-0.781483,-0.189302,0.101129,0.124954,0.819026,0.021242,-0.550488,-0.581626,-0.033397,-0.021175,0.029002,0.008953,-0.195371,-0.047326,0.025282,0.031239,0.204757,0.005310,-0.137622,-0.145406,-0.033397,-0.021175,0.029002,0.008953,-0.195371,-0.047326,0.025282,0.031239,0.204757,0.005310,-0.137622,-0.145406,-0.000381,-0.002404,0.011700,0.000726,0.030765,0.028920,-0.028952,-0.025937,-0.047165,-0.034685,0.042477,0.028345,-0.014283,0.022922,-0.037292,0.035627,-0.004405,0.136579,-0.163289,-0.108803,0.154829,-0.054458,0.064335,-0.057748
140,6,0.140000,0,Stand,0.000000,0.000000,0.000000,0.062851,-0.057538,0.003356,0.002002,0.002208,-0.999996,0.000000,0.000000,0.000000,-0.001263,-0.001208,0.010169,0.002259,0.025068,0.026665,-0.026576,-0.023825,-0.034861,-0.027828,0.034691,0.020714,-0.053394,0.072285,-0.088542,0.092019,-0.420119,-0.228801,0.259723,0.204862,0.831159,0.521940,-0.607609,-0.527190,-0.133588,-0.084698,0.116008,0.035812,-0.781483,-0.189302,0.101129,0.124954,0.819026,0.021242,-0.550488,-0.581626,-0.071456,-0.113440,-0.011049,-0.046007,-0.519375,0.026120,0.040193,0.029491,0.521553,-0.027490,-0.230673,-0.484080,-0.017864,-0.028360,-0.002762,-0.011502,-0.129844,0.006530,0.010048,0.007373,0.130388,-0.006873,-0.057668,-0.121020,-0.017864,-0.028360,-0.002762,-0.011502,-0.129844,0.006530,0.010048,0.007373,0.130388,-0.006873,-0.057668,-0.121020,-0.001263,-0.001208,0.010169,0.002259,0.025068,0.026665,-0.026576,-0.023825,-0.034861,-0.027828,0.034691,0.020714,-0.053394,0.072285,-0.088542,0.092019,-0.420119,-0.228801,0.259723,0.204862,0.831159,0.521940,-0.607609,-0.527190
160,7,0.160000,0,Stand,0.000000,0.000000,0.000000,0.026616,-0.076948,-0.005431,0.000487,0.001519,-0.999999,0.000000,0.000000,0.000000,-0.001370,-0.000748,0.009339,0.003192,0.018269,0.023445,-0.021722,-0.020669,-0.020738,-0.019588,0.023422,0.012049,0.018423,0.003233,-0.017862,0.025880,-0.291174,-0.122311,0.219591,0.122355,0.616027,0.339786,-0.507831,-0.357117,-0.071456,-0.113440,-0.011049,-0.046007,-0.519375,0.026120,0.040193,0.029491,0.521553,-0.027490,-0.230673,-0.484080,-0.116225,-0.070824,0.010596,-0.028681,-0.540079,-0.031000,0.045645,0.111448,0.634486,0.070902,-0.405544,-0.509431,-0.029056,-0.017706,0.002649,-0.007170,-0.135020,-0.007750,0.011411,0.027862,0.158621,0.017725,-0.101386,-0.127358,-0.029056,-0.017706,0.002649,-0.007170,-0.135020,-0.007750,0.011411,0.027862,0.158621,0.017725,-0.101386,-0.127358,-0.001370,-0.000748,0.009339,0.003192,0.018269,0.023445,-0.021722,-0.020669,-0.020738,-0.019588,0.023422,0.012049,0.018423,0.003233,-0.017862,0.025880,-0.291174,-0.122311,0.219591,0.122355,0.616027,0.339786,-0.507831,-0.357117
180,8,0.180000,0,Stand,0.000000,0.000000,0.000000,0.049069,-0.078255,-0.010174,-0.001067,0.000647,-0.999999,0.000000,0.000000,0.000000,-0.001410,-0.000251,0.008599,0.004133,0.012510,0.020566,-0.017095,-0.018337,-0.009193,-0.012815,0.013648,0.005986,-0.013288,0.034147,-0.047336,0.056754,-0.273405,-0.144222,0.235338,0.105744,0.540944,0.322267,-0.477249,-0.264968,-0.116225,-0.070824,0.010596,-0.028681,-0.540079,-0.031000,0.045645,0.111448,0.634486,0.070902,-0.405544,-0.509431,-0.131095,-0.066079,0.073788,-0.022920,-0.487903,-0.090414,0.031961,0.162958,0.653782,0.195391,-0.576633,-0.616358,-0.032774,-0.016520,0.018447,-0.005730,-0.121976,-0.022604,0.007990,0.040739,0.163445,0.048848,-0.144158,-0.154089,-0.032774,-0.016520,0.018447,-0.005730,-0.121976,-0.022604,0.007990,0.040739,0.163445,0.048848,-0.144158,-0.154089,-0.001410,-0.000251,0.008599,0.004133,0.012510,0.020566,-0.017095,-0.018337,-0.009193,-0.012815,0.013648,0.005986,-0.013288,0.034147,-0.047336,0.056754,-0.273405,-0.144222,0.235338,0.105744,0.540943,0.322267,-0.477249,-0.264968
200,9,0.200000,0,Stand,0.000000,0.000000,0.000000,-0.000739,-0.044743,-0.006589,-0.002074,0.000487,-0.999998,0.000000,0.000000,0.000000,-0.000911,-0.000489,0.008454,0.004368,0.006718,0.016095,-0.011226,-0.014302,0.000852,-0.005117,0.003354,-0.001040,0.041967,-0.032581,0.009817,-0.007809,-0.297138,-0.253105,0.311297,0.240798,0.479914,0.399061,-0.514916,-0.382574,-0.131095,-0.066079,0.073788,-0.022920,-0.487903,-0.090414,0.031961,0.162958,0.653782,0.195391,-0.576633,-0.616358,-0.175433,-0.042894,0.047311,0.009912,-0.403051,-0.052176,0.048398,0.278354,0.667324,0.158858,-0.572104,-0.621961,-0.043858,-0.010724,0.011828,0.002478,-0.100763,-0.013044,0.012100,0.069589,0.166831,0.039714,-0.143026,-0.155490,-0.043858,-0.010724,0.011828,0.002478,-0.100763,-0.013044,0.012100,0.069589,0.166831,0.039714,-0.143026,-0.155490,-0.000911,-0.000489,0.008454,0.004368,0.006718,0.016095,-0.011226,-0.014302,0.000852,-0.005117,0.003354,-0.001040,0.041967,-0.032581,0.009817,-0.007809,-0.297138,-0.253105,0.311297,0.240798,0.479914,0.399061,-0.514916,-0.382574
